build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace,province,property_type_name,state_mapped
,,0,84.0,Namur,2,5000.0,380000.0,VBD42060,Apartment,https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd42060,New,0,1,Namur,apartment,ready_to_move_in
1972,2.0,0,117,Turnhout,2,2300.0,199000.0,rbu60951,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbu60951,,0,1,Antwerp,apartment,
,4.0,1,175,Wanlin,4,5564.0,265000.0,vbd42552,Residence,https://immovlan.be/en/detail/residence/for-sale/5564/wanlin/vbd42552,Normal,0,1,Namur,house,ready_to_move_in
,2.0,1,91.0,Oudergem,2,1160.0,570000.0,VBD37074,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd37074,New,0,1,Brussels Capital Region,apartment,ready_to_move_in
,,1,143.0,Olen,3,2250.0,344805.0,RBU46095,Residence,https://immovlan.be/en/detail/residence/for-sale/2250/olen/rbu46095,New,0,1,Antwerp,house,ready_to_move_in
,,1,86.0,Sambreville,2,5060.0,299256.0,VBD40246,Apartment,https://immovlan.be/en/detail/apartment/for-sale/5060/sambreville/vbd40246,,0,1,Namur,apartment,
1974,2.0,1,,Berg,,3700.0,269000.0,rbu46929,Residence,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbu46929,,0,1,Limburg,house,
,,0,53.0,Namur,0,5000.0,216000.0,VBD41139,Studio,https://immovlan.be/en/detail/studio/for-sale/5000/namur/vbd41139,New,0,1,Namur,apartment,ready_to_move_in
,,0,,,,,,rbu57074,,https://immovlan.be/en/detail/residence/for-sale/9552/borsbeke/rbu57074,,0,,,,
1970,2.0,0,60,Evere,1,1140.0,179000.0,rbu43634,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/rbu43634,To be renovated,0,1,Brussels Capital Region,apartment,to_renovate
,2.0,1,133,Eupen,3,4700.0,334207.0,vbd42074,Residence,https://immovlan.be/en/detail/residence/for-sale/4700/eupen/vbd42074,New,0,1,Liège,house,ready_to_move_in
2023,2.0,1,96,Boechout,2,2530.0,424500.0,rbu58433,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2530/boechout/rbu58433,New,0,1,Antwerp,apartment,ready_to_move_in
,,0,118.0,Liege,2,4000.0,305150.0,VBD16455,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbd16455,New,0,1,Liège,apartment,ready_to_move_in
,3.0,1,87,Zomergem,2,9930.0,349000.0,rbu24118,Residence,https://immovlan.be/en/detail/residence/for-sale/9930/zomergem/rbu24118,To be renovated,0,0,East Flanders,house,to_renovate
,2.0,1,53,Grivegnée,1,4030.0,130000.0,vbd43922,Residence,https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd43922,Normal,0,1,Liège,house,ready_to_move_in
1983,4.0,1,248,Bever,5,1547.0,695000.0,rbu58871,Villa,https://immovlan.be/en/detail/villa/for-sale/1547/bever/rbu58871,Normal,0,1,Flemish Brabant,exceptional,ready_to_move_in
1992,4.0,1,208,Jambes,4,5100.0,495000.0,vbd39688,Residence,https://immovlan.be/en/detail/residence/for-sale/5100/jambes/vbd39688,Normal,0,1,Namur,house,ready_to_move_in
,2.0,1,115.0,Kortemark,3,8610.0,345975.0,RBU65541,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8610/kortemark/rbu65541,New,0,1,West Flanders,apartment,ready_to_move_in
1950,3.0,1,140,Koekelare,3,8680.0,285000.0,rbt45279,Residence,https://immovlan.be/en/detail/residence/for-sale/8680/koekelare/rbt45279,,0,0,West Flanders,house,
,,0,76,Bouillon,2,6830.0,90000.0,vbd41797,Residence,https://immovlan.be/en/detail/residence/for-sale/6830/bouillon/vbd41797,,0,0,Luxembourg,house,
1954,3.0,1,113,Godarville,2,7160.0,179999.0,vbd49521,Residence,https://immovlan.be/en/detail/residence/for-sale/7160/godarville/vbd49521,Normal,0,1,Hainaut,house,ready_to_move_in
,4.0,0,110,Ukkel,2,1180.0,395000.0,vbd46827,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd46827,,0,1,Brussels Capital Region,apartment,
,2.0,1,107.0,Mol,3,2400.0,325000.0,RBU35663,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2400/mol/rbu35663,Normal,0,1,Antwerp,apartment,ready_to_move_in
1930,2.0,0,65,Brussels,1,1000.0,235000.0,vbd45012,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd45012,To be renovated,0,1,Brussels Capital Region,apartment,to_renovate
,4.0,1,180.0,Westerlo,4,2260.0,560000.0,RBU28367,Penthouse,https://immovlan.be/en/detail/penthouse/for-sale/2260/westerlo/rbu28367,New,0,1,Antwerp,apartment,ready_to_move_in
1850,3.0,0,85,Floreffe,2,5150.0,200000.0,vbd48432,Duplex,https://immovlan.be/en/detail/duplex/for-sale/5150/floreffe/vbd48432,To renovate,0,0,Namur,apartment,to_renovate
,4.0,1,233,Meulebeke,4,8760.0,645000.0,rbu65288,Residence,https://immovlan.be/en/detail/residence/for-sale/8760/meulebeke/rbu65288,Normal,0,1,West Flanders,house,ready_to_move_in
,,0,,Beernem,,8730.0,392000.0,2108834-7229180,,https://immovlan.be/en/projectdetail/2108834-7229180,,0,,West Flanders,,
,,0,,Peer,,3990.0,270862.0,1197368-01159127_om_2104,,https://immovlan.be/en/projectdetail/1197368-01159127_om_2104,,0,,Limburg,,
2025,,1,103,Marche-en-Famenne,2,6900.0,314300.0,vbb09928,Apartment,https://immovlan.be/en/detail/apartment/for-sale/6900/marche-en-famenne/vbb09928,,0,1,Luxembourg,apartment,
,3.0,1,171,Virton,4,6760.0,229000.0,vbd44755,Residence,https://immovlan.be/en/detail/residence/for-sale/6760/virton/vbd44755,To renovate,0,1,Luxembourg,house,to_renovate
,,1,172,Gistel,3,8470.0,360000.0,rbu61507,Residence,https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbu61507,,0,0,West Flanders,house,
,,1,107,Liege,3,4000.0,289000.0,vbd42886,Residence,https://immovlan.be/en/detail/residence/for-sale/4000/liege/vbd42886,Fully renovated,0,1,Liège,house,ready_to_move_in
,,0,,Gent,,9000.0,,25923-7009834,,https://immovlan.be/en/projectdetail/25923-7009834,,0,,East Flanders,,
,,0,75.0,Liege,1,4000.0,221000.0,VBD20010,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbd20010,New,0,0,Liège,apartment,ready_to_move_in
,2.0,0,145.0,Stekene,2,9190.0,495000.0,RBU45512,Apartment,https://immovlan.be/en/detail/apartment/for-sale/9190/stekene/rbu45512,New,0,1,East Flanders,apartment,ready_to_move_in
,2.0,1,197,Hasselt,5,3500.0,269000.0,rbu41067,Residence,https://immovlan.be/en/detail/residence/for-sale/3500/hasselt/rbu41067,,0,1,Limburg,house,
,,0,,Edegem,,2650.0,459000.0,2071139-rmg01391814_om_268905,,https://immovlan.be/en/projectdetail/2071139-rmg01391814_om_268905,,0,,Antwerp,,
1875,2.0,1,99,Hannut,2,4280.0,159000.0,vbd46656,Residence,https://immovlan.be/en/detail/residence/for-sale/4280/hannut/vbd46656,To renovate,0,1,Liège,house,to_renovate
,2.0,0,80,Menen,2,8930.0,79900.0,rwc40209,Residence,https://immovlan.be/en/detail/residence/for-sale/8930/menen/rwc40209,Normal,0,0,West Flanders,house,ready_to_move_in
,,0,43,Gent,1,9000.0,250000.0,rbu59645,Apartment,https://immovlan.be/en/detail/apartment/for-sale/9000/gent/rbu59645,Normal,0,0,East Flanders,apartment,ready_to_move_in
,,0,92.0,Liege,2,4020.0,291300.0,VBC94339,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4020/liege/vbc94339,,0,1,Liège,apartment,
,,0,332,Gouvy,6,6670.0,320000.0,vbd43180,Residence,https://immovlan.be/en/detail/residence/for-sale/6670/gouvy/vbd43180,Normal,0,0,Luxembourg,house,ready_to_move_in
2025,3.0,1,208,Éghezée,3,5310.0,369000.0,vwd14944,Residence,https://immovlan.be/en/detail/residence/for-sale/5310/eghezee/vwd14944,Excellent,0,1,Namur,house,ready_to_move_in
1900,3.0,0,180,Braine-l'Alleud,2,1420.0,450000.0,vbd16220,Mixed,https://immovlan.be/en/detail/mixed-building/for-sale/1420/braine-l-alleud/vbd16220,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
,2.0,0,135.0,Braine-le-Comte,3,7090.0,328000.0,VBD36789,Apartment,https://immovlan.be/en/detail/apartment/for-sale/7090/braine-le-comte/vbd36789,New,0,1,Hainaut,apartment,ready_to_move_in
1960,4.0,1,140,Durbuy,3,6940.0,275000.0,vbd29181,Residence,https://immovlan.be/en/detail/residence/for-sale/6940/durbuy/vbd29181,To be renovated,0,1,Luxembourg,house,to_renovate
,,1,173.0,Mons,3,7000.0,715000.0,VBB60667,Penthouse,https://immovlan.be/en/detail/penthouse/for-sale/7000/mons/vbb60667,New,0,1,Hainaut,apartment,ready_to_move_in
2024,2.0,0,136,Huy,2,4500.0,179000.0,vbc98270,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4500/huy/vbc98270,Fully renovated,0,1,Liège,apartment,ready_to_move_in
,2.0,0,70.0,Mortsel,1,2640.0,265000.0,RBT17747,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2640/mortsel/rbt17747,New,0,1,Antwerp,apartment,ready_to_move_in
,,0,,,,,,vbd47330,,https://immovlan.be/en/detail/triplex/for-sale/5590/ciney/vbd47330,,0,,,,
,2.0,0,110.0,Ieper,2,8900.0,511750.0,RBT86440,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8900/ieper/rbt86440,New,0,1,West Flanders,apartment,ready_to_move_in
1976,,0,68,Blankenberge,1,8370.0,267500.0,rbu60086,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rbu60086,Fully renovated,0,1,West Flanders,apartment,ready_to_move_in
,2.0,1,75.0,Wommelgem,2,2160.0,289000.0,RBU35922,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2160/wommelgem/rbu35922,New,0,1,Antwerp,apartment,ready_to_move_in
2024,2.0,0,94,Leopoldsburg,2,3970.0,320000.0,rbu42956,Penthouse,https://immovlan.be/en/detail/penthouse/for-sale/3970/leopoldsburg/rbu42956,New,0,1,Limburg,apartment,ready_to_move_in
,,1,89.0,Fleurus,2,6220.0,231000.0,VBB07464,Apartment,https://immovlan.be/en/detail/apartment/for-sale/6220/fleurus/vbb07464,New,0,1,Hainaut,apartment,ready_to_move_in
1956,,1,149,Keerbergen,2,3140.0,395000.0,rbu65768,Residence,https://immovlan.be/en/detail/residence/for-sale/3140/keerbergen/rbu65768,,0,1,Flemish Brabant,house,
,,1,125.0,Mortsel,3,2640.0,398000.0,RBT17784,Residence,https://immovlan.be/en/detail/residence/for-sale/2640/mortsel/rbt17784,New,0,1,Antwerp,house,ready_to_move_in
,,1,389,Hanzinelle,5,5621.0,250000.0,vbd37372,Residence,https://immovlan.be/en/detail/residence/for-sale/5621/hanzinelle/vbd37372,To be renovated,0,0,Namur,house,to_renovate
2000,,1,214,Oostduinkerke,4,8670.0,749000.0,rbu62577,Villa,https://immovlan.be/en/detail/villa/for-sale/8670/oostduinkerke/rbu62577,Normal,0,0,West Flanders,exceptional,ready_to_move_in
2025,2.0,0,48,Namur,,5000.0,,vbd26460,Studio,https://immovlan.be/en/detail/studio/for-sale/5000/namur/vbd26460,New,0,1,Namur,apartment,ready_to_move_in
1977,4.0,1,200,Waterloo,5,1410.0,595000.0,vbd31569,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd31569,To be renovated,0,1,Walloon Brabant,exceptional,to_renovate
1964,,1,136,Sint-Truiden,3,3800.0,229000.0,rbu52238,Residence,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu52238,,0,1,Limburg,house,
1950,3.0,1,110,Forchies-la-Marche,2,6141.0,69000.0,vbd49828,Residence,https://immovlan.be/en/detail/residence/for-sale/6141/forchies-la-marche/vbd49828,To be renovated,0,1,Hainaut,house,to_renovate
1989,,0,89,Oostende,2,8400.0,199000.0,rbu61280,Apartment,https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbu61280,To be renovated,0,1,West Flanders,apartment,to_renovate
1958,3.0,1,240,Wilrijk,4,2610.0,365000.0,rbu64983,Residence,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu64983,To be renovated,0,0,Antwerp,house,to_renovate
2009,3.0,1,254,Beveren,4,9120.0,530000.0,rbu59347,Residence,https://immovlan.be/en/detail/residence/for-sale/9120/beveren/rbu59347,Normal,0,1,East Flanders,house,ready_to_move_in
1965,,0,74,Anderlecht,2,1070.0,209000.0,vwd15545,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vwd15545,Normal,0,1,Brussels Capital Region,apartment,ready_to_move_in
,,0,53.0,Namur,0,5000.0,220000.0,VBD41120,Studio,https://immovlan.be/en/detail/studio/for-sale/5000/namur/vbd41120,New,0,1,Namur,apartment,ready_to_move_in
,,0,112,Aarschot,3,3200.0,342000.0,rwc40974,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rwc40974,Excellent,0,1,Flemish Brabant,apartment,ready_to_move_in
1999,3.0,0,99,Fléron,2,4620.0,255000.0,vbd46847,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4620/fleron/vbd46847,Normal,0,1,Liège,apartment,ready_to_move_in
,,0,,Aalst,,9300.0,417700.0,24431-p-vk2208-zyulqvr2,,https://immovlan.be/en/projectdetail/24431-p-vk2208-zyulqvr2,,0,,East Flanders,,
,3.0,0,,Villers-la-Ville,4,1495.0,450000.0,vbd17343,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd17343,,0,,Walloon Brabant,house,
,,1,71.0,Maldegem,1,9990.0,258000.0,RBJ24041,Apartment,https://immovlan.be/en/detail/apartment/for-sale/9990/maldegem/rbj24041,New,0,1,East Flanders,apartment,ready_to_move_in
1990,2.0,0,185,Wavre,3,1300.0,375000.0,vbd15476,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd15476,,0,0,Walloon Brabant,apartment,
,,1,,Écaussinnes-d'Enghien,3,7190.0,290000.0,vbd49208,Residence,https://immovlan.be/en/detail/residence/for-sale/7190/ecaussinnes-d-enghien/vbd49208,,0,0,Hainaut,house,
,2.0,0,86.0,Leopoldsburg,2,3970.0,295000.0,RBU43060,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3970/leopoldsburg/rbu43060,New,0,1,Limburg,apartment,ready_to_move_in
